date,month,day,year,Call_Count,Temp_Avg
May/7/2015,May,7,2015,"4,287",68
May/7/2016,May,7,2016,"3,690",54
May/7/2017,May,7,2017,"3,758",52
June/7/2013,June,7,2013,"3,632",61
June/7/2014,June,7,2014,"3,858",71
June/7/2015,June,7,2015,"3,928",65
June/7/2016,June,7,2016,"4,116",75
June/7/2017,June,7,2017,"4,030",59
July/7/2013,July,7,2013,"3,936",85
July/7/2014,July,7,2014,"3,882",81
July/7/2015,July,7,2015,"4,289",82
July/7/2016,July,7,2016,"4,363",83
July/7/2017,July,7,2017,"4,109",74
August/7/2013,August,7,2013,"3,473",75
August/7/2014,August,7,2014,"3,795",75
August/7/2015,August,7,2015,"4,350",77
August/7/2016,August,7,2016,"3,834",78
August/7/2017,August,7,2017,"3,851",68
September/7/2013,September,7,2013,"3,476",70
September/7/2014,September,7,2014,"3,730",73
September/7/2015,September,7,2015,"3,988",81
September/7/2016,September,7,2016,"3,954",78
September/7/2017,September,7,2017,"3,947",65
October/7/2013,October,7,2013,"3,693",68
October/7/2014,October,7,2014,"3,985",67
October/7/2015,October,7,2015,"4,111",66
October/7/2016,October,7,2016,"4,127",66
October/7/2017,October,7,2017,"4,266",74
November/7/2013,November,7,2013,"3,539",54
November/7/2014,November,7,2014,"3,610",47
November/7/2015,November,7,2015,"3,759",63
November/7/2016,November,7,2016,"3,906",47
November/7/2017,November,7,2017,"3,697",45
December/7/2013,December,7,2013,"3,366",37
December/7/2014,December,7,2014,"3,351",36
December/7/2015,December,7,2015,"4,063",48
December/7/2016,December,7,2016,"4,078",43
December/7/2017,December,7,2017,"4,096",41
January/8/2013,January,8,2013,"4,035",42
January/8/2014,January,8,2014,"3,617",16
January/8/2015,January,8,2015,"3,545",15
January/8/2016,January,8,2016,"3,874",39
January/8/2017,January,8,2017,"3,634",21
February/8/2013,February,8,2013,"3,339",31
February/8/2014,February,8,2014,"3,451",25
February/8/2015,February,8,2015,"3,452",33
February/8/2016,February,8,2016,"3,769",34
February/8/2017,February,8,2017,"4,315",50
March/8/2013,March,8,2013,"3,445",37
March/8/2014,March,8,2014,"3,504",46
March/8/2015,March,8,2015,"3,471",43
March/8/2016,March,8,2016,"4,281",57
March/8/2017,March,8,2017,"3,805",53
April/8/2013,April,8,2013,"3,795",62
April/8/2014,April,8,2014,"3,907",55
April/8/2015,April,8,2015,"3,430",41
April/8/2016,April,8,2016,"3,922",45
April/8/2017,April,8,2017,"3,709",49
May/8/2013,May,8,2013,"3,707",59
May/8/2014,May,8,2014,"3,631",56
May/8/2015,May,8,2015,"4,303",69
May/8/2016,May,8,2016,"3,642",58
May/8/2017,May,8,2017,"4,225",51
June/8/2013,June,8,2013,"3,714",67
June/8/2014,June,8,2014,"3,811",76
June/8/2015,June,8,2015,"4,238",71
June/8/2016,June,8,2016,"3,862",60
June/8/2017,June,8,2017,"3,913",62
July/8/2013,July,8,2013,"3,780",81
July/8/2014,July,8,2014,"3,830",81
July/8/2015,July,8,2015,"4,302",83
July/8/2016,July,8,2016,"4,101",77
July/8/2017,July,8,2017,"3,988",77
August/8/2013,August,8,2013,"3,448",76
August/8/2014,August,8,2014,"3,907",74
August/8/2015,August,8,2015,"4,124",75
August/8/2016,August,8,2016,"4,151",79
August/8/2017,August,8,2017,"3,988",72
September/8/2013,September,8,2013,"3,384",74
September/8/2014,September,8,2014,"4,010",70
September/8/2015,September,8,2015,"4,363",87
September/8/2016,September,8,2016,"4,169",80
September/8/2017,September,8,2017,"4,015",65
October/8/2013,October,8,2013,"3,550",61
October/8/2014,October,8,2014,"4,096",68
October/8/2015,October,8,2015,"4,126",66
October/8/2016,October,8,2016,"3,809",63
October/8/2017,October,8,2017,"3,934",75
November/8/2013,November,8,2013,"3,483",45
November/8/2014,November,8,2014,"3,520",42
November/8/2015,November,8,2015,"3,449",51
November/8/2016,November,8,2016,"3,686",54
November/8/2017,November,8,2017,"3,915",44
December/8/2013,December,8,2013,"3,080",31
December/8/2014,December,8,2014,"3,793",31
December/8/2015,December,8,2015,"3,594",45
December/8/2016,December,8,2016,"4,100",40
December/8/2017,December,8,2017,"4,124",37
January/9/2013,January,9,2013,"3,805",44
January/9/2014,January,9,2014,"3,719",27
January/9/2015,January,9,2015,"4,222",26
January/9/2016,January,9,2016,"3,765",44
January/9/2017,January,9,2017,"4,258",19
February/9/2013,February,9,2013,"3,307",27
February/9/2014,February,9,2014,"3,272",26
February/9/2015,February,9,2015,"3,822",27
